epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1685,2.15878,2.92788,2.58452,0.00333,1,0.4527,0.21154,1.1436,3.42424,2.53303,6e-05,6e-05,6e-05
2,31.0283,1.34778,2.50687,1.88138,0.00333,1,0.81614,0.43781,0.98064,3.31789,2.49015,0.000137228,0.000137228,0.000137228
3,40.868,1.21737,2.45893,1.95883,0.00333,1,0.79601,0.40578,0.95993,3.2735,2.39402,0.000211288,0.000211288,0.000211288
4,52.1678,1.07084,2.047,1.70318,0.00333,1,0.67293,0.34498,1.07419,3.30204,2.39664,0.00028218,0.00028218,0.00028218
5,63.1535,1.02202,2.2642,1.62414,0.00333,1,0.6432,0.36742,1.1941,3.36879,2.55695,0.000349904,0.000349904,0.000349904
6,73.8818,0.79112,1.77275,1.498,0.00333,1,0.55062,0.32597,1.14936,3.29922,2.51331,0.00041446,0.00041446,0.00041446
7,84.7607,0.93607,1.88175,1.53495,0.00333,1,0.49031,0.25028,1.12621,3.23039,2.2889,0.000475848,0.000475848,0.000475848
8,95.1419,1.28167,2.40033,1.84087,0.00333,1,0.52734,0.18122,1.5493,3.44905,2.66063,0.000534068,0.000534068,0.000534068
9,105.566,0.8429,1.4343,1.46716,0.6857,0.3,0.71479,0.30421,1.50069,3.18525,2.76655,0.00058912,0.00058912,0.00058912
10,116.481,0.9068,1.20849,1.43417,1,0.74145,0.89895,0.47038,1.37145,2.74229,2.80119,0.000641004,0.000641004,0.000641004
11,127.982,0.93023,1.17546,1.41649,0.92808,0.8,0.935,0.44983,1.35428,2.52289,2.83811,0.00068972,0.00068972,0.00068972
12,139.751,0.81911,1.24989,1.4915,0.83291,0.7,0.79874,0.38911,1.48517,2.45244,3.03128,0.000735268,0.000735268,0.000735268
13,151.834,1.83899,3.58383,2.54835,0.81056,0.85809,0.8213,0.37239,1.62079,2.5286,2.96973,0.000777648,0.000777648,0.000777648
14,162.804,0.87235,1.30162,1.44409,0.72051,0.7,0.7751,0.35295,1.45101,2.64972,2.89954,0.00081686,0.00081686,0.00081686
