epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.407,1.78888,2.76777,2.35882,0.00333,1,0.1775,0.08553,1.54444,3.66,2.82083,2e-05,2e-05,2e-05
2,37.4689,1.64007,2.67538,2.12415,0.00333,1,0.4614,0.23161,1.18285,3.44455,2.54554,5.83029e-05,5.83029e-05,5.83029e-05
3,55.9062,1.50277,2.52251,2.07098,0.00333,1,0.58679,0.34819,0.92042,3.34875,2.29425,9.43429e-05,9.43429e-05,9.43429e-05
4,73.6409,1.24534,2.485,1.88401,0.00333,1,0.6685,0.36264,0.891,3.29811,2.26845,0.00012812,0.00012812,0.00012812
5,90.8831,1.04203,2.31501,1.67072,0.00333,1,0.69852,0.35668,0.90237,3.2743,2.19892,0.000159634,0.000159634,0.000159634
6,107.908,1.00262,2.09982,1.6693,0.00333,1,0.89548,0.40374,0.80868,3.17485,2.03147,0.000188886,0.000188886,0.000188886
7,124.261,1.04327,1.9125,1.57062,0.00333,1,0.93848,0.42119,0.91128,3.21074,2.0724,0.000215874,0.000215874,0.000215874
8,141.105,0.94468,1.66358,1.56531,0.00333,1,0.69425,0.28558,1.30002,3.29083,2.51182,0.0002406,0.0002406,0.0002406
9,157.134,0.98484,1.57848,1.54799,0.003,0.9,0.5015,0.2927,1.39167,3.34134,2.60739,0.000263063,0.000263063,0.000263063
10,175.161,0.8295,1.31523,1.37058,0.00267,0.8,0.54453,0.30242,1.38139,3.42667,2.50037,0.000283263,0.000283263,0.000283263
11,195.934,0.87458,1.23451,1.35653,0.00267,0.8,0.58532,0.33729,1.466,3.53134,2.47863,0.0003012,0.0003012,0.0003012
12,212.252,0.78987,1.40948,1.4213,0.003,0.9,0.76016,0.40523,1.37133,3.38471,2.3688,0.000316874,0.000316874,0.000316874
13,232.567,0.86251,1.19074,1.41222,0.003,0.9,0.80017,0.4736,1.20724,3.23939,2.22884,0.000330286,0.000330286,0.000330286
14,251.664,0.72904,1.22087,1.33256,0.8547,0.58973,0.90045,0.5301,1.21694,2.93208,2.28258,0.000341434,0.000341434,0.000341434
15,267.029,0.79327,1.1019,1.30298,1,0.63603,0.9575,0.59996,1.19853,2.81491,2.2591,0.00035032,0.00035032,0.00035032
16,280.054,0.70352,1.06262,1.30702,1,0.77903,0.94348,0.63825,1.18501,2.8503,2.30023,0.000356943,0.000356943,0.000356943
17,293.149,0.83904,1.12073,1.41058,1,0.54806,0.94167,0.52368,1.45981,2.96314,2.57159,0.000361303,0.000361303,0.000361303
18,306.037,0.73527,1.1234,1.3422,0.63894,0.9,0.8319,0.416,1.78807,3.22768,2.94892,0.0003634,0.0003634,0.0003634
19,318.913,0.8039,1.14261,1.39051,0.9124,0.5,0.82244,0.3991,1.85334,3.18339,2.99729,0.000363234,0.000363234,0.000363234
20,332.049,0.73909,1.08535,1.31094,1,0.65882,0.8588,0.40036,1.92277,3.07533,3.19705,0.000360806,0.000360806,0.000360806
21,345.366,0.69631,1.02562,1.23653,1,0.6961,0.85905,0.38229,1.89814,2.92761,3.19363,0.000356114,0.000356114,0.000356114
22,358.25,0.76243,1.0359,1.34051,1,0.67894,0.88989,0.53804,1.48725,2.7687,2.66588,0.00034916,0.00034916,0.00034916
23,371.142,0.77061,1.09099,1.36358,0.73982,0.7,0.82294,0.47947,1.52593,2.75732,2.60128,0.000339943,0.000339943,0.000339943
24,384.496,0.75103,1.05319,1.32377,0.79783,0.79023,0.86143,0.44487,1.53328,2.79572,2.60236,0.000328463,0.000328463,0.000328463
25,397.765,0.70346,1.10115,1.32165,0.77491,0.68969,0.92833,0.55362,1.37347,2.77943,2.39656,0.00031472,0.00031472,0.00031472
26,410.804,1.09536,2.34143,1.90558,0.88774,0.8,0.96167,0.61082,1.29527,2.70833,2.37255,0.000298714,0.000298714,0.000298714
27,423.975,1.13106,2.19884,1.83799,1,0.69995,0.98591,0.66562,1.22722,2.54856,2.35945,0.000280446,0.000280446,0.000280446
28,436.847,0.8243,2.22467,1.5931,1,0.69995,0.98591,0.66562,1.22722,2.54856,2.35945,0.000259914,0.000259914,0.000259914
29,449.816,0.61894,1.64772,1.47378,0.98294,0.9,0.97833,0.66435,1.24712,2.35951,2.46857,0.00023712,0.00023712,0.00023712
30,462.915,0.57775,1.59659,1.36339,0.96451,0.9,0.98591,0.66887,1.22821,2.2503,2.61732,0.000212063,0.000212063,0.000212063
31,476.035,0.50838,1.44311,1.34519,0.96451,0.9,0.98591,0.66887,1.22821,2.2503,2.61732,0.000184743,0.000184743,0.000184743
32,489.09,0.55064,1.44883,1.38627,0.97906,0.9,0.98591,0.68602,1.16869,2.21377,2.60193,0.00015516,0.00015516,0.00015516
33,502.125,0.56882,1.43258,1.4112,0.98307,0.9,0.98591,0.68095,1.14174,2.15997,2.534,0.000123314,0.000123314,0.000123314
34,514.859,0.64494,1.48083,1.53476,0.98307,0.9,0.98591,0.68095,1.14174,2.15997,2.534,8.92057e-05,8.92057e-05,8.92057e-05
35,528.039,0.45061,1.30503,1.25029,0.98326,0.9,0.98591,0.70253,1.16303,2.12003,2.4851,5.28343e-05,5.28343e-05,5.28343e-05
